gap_decile,per_seat_reservation_price_eth,total_reservation_cost_eth,break_even_eth,frac_blocks_in_decile,value_share_of_decile,attackable_value_eth
1,0.0,0.0,0.0,1.0,1.0,2342.0768326236894
1,1e-05,0.00257,0.00257,0.9980337704984493,0.9999346373110499,2341.9237481841815
1,0.0001,0.0257,0.0257,0.12075081588389111,0.8222140725228524,1925.6885307129464
1,0.001,0.257,0.257,0.009567632213731175,0.6825089109096771,1598.4883083007803
1,0.01,2.57,2.57,0.0011959540267163968,0.5666557942270267,1327.1514077310958
1,0.1,25.7,25.7,0.0001824336650923317,0.3805237860052527,891.2159434651569
2,0.0,0.0,0.0,1.0,1.0,1470.8674918981144
2,1e-05,0.00257,0.00257,0.9997567551132103,0.9999848655085849,1470.8452310666855
2,0.0001,0.0257,0.0257,0.2109338576612004,0.6990996360071277,1028.2829282006885
2,0.001,0.257,0.257,0.00904060162568666,0.3010963226218623,442.87279287456414
2,0.01,2.57,2.57,0.0005675714025094764,0.1340001047243216,197.0963979499476
2,0.1,25.7,25.7,4.0540814464962604e-05,0.0368477257896659,54.198122014395345
3,0.0,0.0,0.0,1.0,1.0,1356.9604139431228
3,1e-05,0.00257,0.00257,0.9996352287926074,0.9999762550507538,1356.9281929869646
3,0.0001,0.0257,0.0257,0.21035139626312163,0.6727032534167434,912.8316852172696
3,0.001,0.257,0.257,0.008389737770032019,0.24392208680160676,330.99261587617866
3,0.01,2.57,2.57,0.00030397600616058036,0.07693618519861106,104.39935771431203
3,0.1,25.7,25.7,2.0265067077372025e-05,0.020814284930634912,28.244160695404453
4,0.0,0.0,0.0,1.0,1.0,1260.8666822657353
4,1e-05,0.00257,0.00257,0.9996353100877282,0.9999707984055723,1260.8298629482524
4,0.0001,0.0257,0.0257,0.20637396924448406,0.6454902116143931,813.8771015532473
4,0.001,0.257,0.257,0.006402334015438539,0.19582623461929188,246.91077474501805
4,0.01,2.57,2.57,0.00030390826022651295,0.0504977772714866,63.670964890093366
4,0.1,25.7,25.7,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0,1.0,1321.1911506284887
5,1e-05,0.00257,0.00257,0.9995349777598059,0.9999692758321896,1321.1505581298672
5,0.0001,0.0257,0.0257,0.2063890012131015,0.6622724433639905,874.9884914776112
5,0.001,0.257,0.257,0.0067327133036797415,0.23130288518814,305.5953250254079
5,0.01,2.57,2.57,0.00026283865750101093,0.0904518904022209,119.5042371570322
5,0.1,25.7,25.7,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0,1.0,1293.1299308983819
6,1e-05,0.00257,0.00257,0.9996137347781008,0.999973518949147,1293.0956874589222
6,0.0001,0.0257,0.0257,0.20636727723678058,0.6559816341028131,848.2694851779783
6,0.001,0.257,0.257,0.006810465754538616,0.21492651341640923,277.9279074423914
6,0.01,2.57,2.57,0.0003659354733781943,0.07416787490664324,95.9086989529074
6,0.1,25.7,25.7,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,1.0,1458.8736745210485
7,1e-05,0.00257,0.00257,0.9996147607461476,0.9999758352669865,1458.8384212282033
7,0.0001,0.0257,0.0257,0.21443633414436333,0.6966704079202841,1016.3541179327427
7,0.001,0.257,0.257,0.007420924574209246,0.2917147640406128,425.5749897279694
7,0.01,2.57,2.57,0.00038523925385239256,0.16144387586107217,235.52622040636237
7,0.1,25.7,25.7,4.0551500405515004e-05,0.0718871255734293,104.87423503606485
8,0.0,0.0,0.0,1.0,1.0,1373.3841708828522
8,1e-05,0.00257,0.00257,0.9995947150847045,0.9999746283000355,1373.3493257917326
8,0.0001,0.0257,0.0257,0.21664505147118424,0.6777421742807708,930.800374096938
8,0.001,0.257,0.257,0.008105698305909055,0.24701346496210452,339.2443827738804
8,0.01,2.57,2.57,0.00036475642376590744,0.0842717608644961,115.73750242372397
8,0.1,25.7,25.7,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0,1.0,1563.8930091184811
9,1e-05,0.00257,0.00257,0.9994123487811303,0.9999638790067792,1563.8365197497008
9,0.0001,0.0257,0.0257,0.22768445155930211,0.7188797890333708,1124.251076465857
9,0.001,0.257,0.257,0.009179517315447121,0.31862098265406735,498.28912733115675
9,0.01,2.57,2.57,0.0005673873837362459,0.17084815687149893,267.18823815211476
9,0.1,25.7,25.7,2.0263835133437355e-05,0.031255704502194094,48.88057776605438
10,0.0,0.0,0.0,1.0,1.0,5960.746788279392
10,1e-05,0.00257,0.00257,0.9995942793386753,0.99999511077548,5960.717644850037
10,0.0001,0.0257,0.0257,0.32694999492849175,0.9340059169170901,5567.372769497493
10,0.001,0.257,0.257,0.050207931838928896,0.7682579899222906,4579.391345999275
10,0.01,2.57,2.57,0.006613246779592251,0.5150213421605359,3069.9118111787557
10,0.1,25.7,25.7,0.00038543462825844406,0.1411485557439729,841.3508003211612
