gap_decile,n_blocks,gap_mean,top_bid_mean,top_bid_median,value_share_of_panel
1,49333,0.10540373036569213,0.04747485116704213,0.008925683660138508,0.12071322658722695
2,49333,0.33111310714954045,0.029815083045793167,0.011930114995432136,0.07581013498621267
3,49346,0.41303674961958475,0.027498893809895893,0.011920797799084552,0.06993923838728837
4,49357,0.4617002286897958,0.02554585331899701,0.01187572980372202,0.06498646132890719
5,49460,0.499989091499048,0.02671231602564676,0.011880477427587932,0.06809565105180347
6,49189,0.533708991527643,0.02628900630015617,0.01193340601846992,0.06664934479557373
7,49320,0.5668950647137289,0.029579758201967732,0.012081163719111374,0.0751919603924007
8,49348,0.602723231021322,0.027830594368218615,0.01215112563031046,0.07078573695866877
9,49349,0.647274188453595,0.03169047010311214,0.01242119836954189,0.08060477288288512
10,49295,0.7447678804759085,0.12091990644648325,0.015064781779410048,0.30722347262903266
